,p5,median,p95
1897.5,0.05159704918290991,0.07031956399948588,0.09943525159232788
1898.5,0.05251351081634387,0.0715589884325164,0.10121441690282253
1899.5,0.053451489061288285,0.07283430151642123,0.10303975142499248
1900.5,0.054419840690434026,0.07415825671115864,0.10493050387925092
1901.5,0.05540997256298408,0.07551643653150045,0.10686248130044498
1902.5,0.05641262282046365,0.07689031110682987,0.10881128385889208
1903.5,0.05743031854479253,0.07827844993818406,0.11078777719394996
1904.5,0.0584673027436445,0.07969544825548003,0.11280455526350053
1905.5,0.05952616927780725,0.08116385624732805,0.11487116606946907
1906.5,0.0606120644306886,0.0826690205592566,0.11698108354513305
1907.5,0.06173995045268328,0.08422119453020475,0.11916159452456451
1908.5,0.06290694895696937,0.08581901897011614,0.12141243859207745
1909.5,0.06409331866102566,0.08742830135620007,0.12369547164059314
1910.5,0.06530005113619983,0.08906185816893802,0.1260310663019288
1911.5,0.06652294432091538,0.09071904497680097,0.12842745046180487
1912.5,0.06775029613932702,0.09238788454257223,0.13085743598275473
1913.5,0.06899369169626426,0.0940915718047853,0.1333195332011599
1914.5,0.0702503312887626,0.09583043659723864,0.13581188410182354
1915.5,0.0714956191761843,0.0975332455698759,0.1383038635478283
1916.5,0.07273312941713078,0.09919270326810722,0.14078716893470172
1917.5,0.07397925353747714,0.10086234089879856,0.1432814947311168
1918.5,0.07522639340313117,0.10254531315771516,0.14578666991685926
1919.5,0.076445788934701,0.10420179994245499,0.14826913460041402
1920.5,0.0776465856789987,0.10584388053064916,0.1507241551571485
1921.5,0.0788185397325589,0.10747217559809735,0.1531406898309572
1922.5,0.07994953611386907,0.10905498603441044,0.15545219563869928
1923.5,0.08111092843582214,0.11066235665443983,0.15772146765198158
1924.5,0.08232794809006869,0.11230835795862247,0.16012850465266726
1925.5,0.08357574995596916,0.11396786346579707,0.1626330026805186
1926.5,0.0848439979212488,0.11568721986309469,0.16512088260836366
1927.5,0.08613163886419675,0.11747701442535749,0.16764787652738422
1928.5,0.08744772802329012,0.1193135493533457,0.17024568674430454
1929.5,0.0887984399796254,0.12118957237920447,0.17291709103989045
1930.5,0.09018709810200687,0.12310569274200892,0.17566515932614166
1931.5,0.09158748475254705,0.12500168838747314,0.17841279139170277
1932.5,0.09294077613786919,0.12686609050684058,0.18109783948664732
1933.5,0.09425833756210128,0.12876950857697977,0.1837622369851339
1934.5,0.09561759201346474,0.13068412524571843,0.1865368527701649
1935.5,0.09704094397668821,0.13260845027430124,0.18946782575316262
1936.5,0.09853380584546413,0.1346510825709334,0.19252557405616988
1937.5,0.10010901771593762,0.136830914049063,0.19569776685722584
1938.5,0.10173373911863384,0.13906029281122462,0.1989205004398129
1939.5,0.10339550920608093,0.14132237082752785,0.20220939970868768
1940.5,0.10511446558228105,0.1436534474924401,0.20559165828446535
1941.5,0.10689145299008748,0.14605989079605908,0.2090430604557622
1942.5,0.10871884315467172,0.14853750245467146,0.2125827390322373
1943.5,0.11059431795195483,0.15107892079340748,0.2162076627441567
1944.5,0.11250592756756944,0.15369181902334456,0.21991192678209398
1945.5,0.11443865301403709,0.15633613877431732,0.22364037526909972
1946.5,0.11639311651740487,0.15899339837650792,0.22740756676998344
1947.5,0.11838798661951452,0.1617456824887969,0.23132643869320654
1948.5,0.12044798370310086,0.16461737185415465,0.23538972983081208
